"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDQ16","OUT027",3172.50163829242
"FDU35","OUT018",1320.22298356448
"NCT29","OUT013",1950.52596547752
"FDZ27","OUT046",841.77297389871
"FDN57","OUT017",2354.203817376
"FDA03","OUT018",2105.24654381024
"FDZ36","OUT045",2928.84914109877
"NCU05","OUT013",1318.54556201533
"FDT39","OUT018",2198.78290380391
"FDK60","OUT017",1688.37881177826
"FDZ25","OUT017",2843.75385701706
"FDG12","OUT046",2000.66526486869
"DRB01","OUT019",1124.1259171746
"NCC43","OUT027",5360.10336275176
"FDX13","OUT019",2020.97308439691
"FDM22","OUT049",1025.02918746824
"FDJ03","OUT027",2317.05163665134
"FDU14","OUT018",3665.94288394533
"FDB33","OUT010",678.941660690103
"FDP27","OUT046",3035.23514779679
"FDO38","OUT010",-639.254821010021
"FDE28","OUT027",5123.90090171218
"FDO27","OUT035",1694.56604235997
"DRL23","OUT027",3151.22461592024
"FDS28","OUT046",974.688373798896
"FDX24","OUT013",1525.59691552665
"FDZ02","OUT035",1739.79923449389
"FDL46","OUT045",1804.13489654441
"FDS60","OUT027",4298.29314528157
"NCO06","OUT017",648.759189114899
"FDO16","OUT035",1515.02571597806
"FDC60","OUT049",1525.82514442351
"FDA48","OUT018",3180.34554368746
"FDZ36","OUT027",4446.06309105032
"FDK27","OUT045",1882.98112309531
"FDW23","OUT018",384.691599530436
"FDM14","OUT018",1488.72914078157
"FDM14","OUT013",1768.00609409279
"FDW60","OUT018",2598.69327977122
"FDE21","OUT013",1903.80488506649
"NCM42","OUT035",1873.62335559265
"FDY59","OUT010",-370.996667277268
"DRI49","OUT049",1364.59405984619
"FDT28","OUT019",525.025497441952
"FDQ22","OUT018",408.171298333243
"FDR60","OUT049",1330.95848561093
"FDC50","OUT019",-401.465821988953
"FDV24","OUT013",2448.50592209044
"DRF48","OUT010",1101.55912760329
"FDQ47","OUT046",668.474952650756
"DRN36","OUT049",1640.5873737858
"NCY06","OUT035",2162.99450837662
"FDE52","OUT035",1636.27813555906
"NCB54","OUT045",1938.30605716943
"NCF31","OUT035",2563.05757558969
"FDJ08","OUT027",4462.4644754149
"NCC07","OUT017",1782.69891795617
"NCD19","OUT027",2336.33653731496
"FDL46","OUT049",1989.01445057224
"FDM20","OUT045",3829.0132376714
"NCI06","OUT010",965.857122797359
"DRM11","OUT035",4199.52772058698
"NCH07","OUT018",2223.85354877436
"FDS23","OUT013",2079.89047614656
"FDO49","OUT018",603.007329007317
"FDS35","OUT049",1172.11395603221
"DRK39","OUT045",1267.69564471633
"DRI39","OUT049",1050.63238031192
"FDV04","OUT017",2643.42381896898
"NCN14","OUT035",3017.17850124752
"FDH08","OUT013",3689.71077233338
"FDS20","OUT046",2931.58801252352
"FDV40","OUT049",1338.85793830878
"FDZ48","OUT010",-130.428027517591
"FDS24","OUT027",2892.79999442761
"FDK44","OUT049",2869.24816439942
"FDS48","OUT045",2355.499264592
"FDK26","OUT010",1129.94141045599
"FDD23","OUT045",2976.92485415778
"NCH54","OUT017",2654.74051436368
"NCP14","OUT010",-225.279056895437
"FDM60","OUT010",-1168.97612378805
"FDV24","OUT017",2511.74694197151
"FDH08","OUT018",3345.5359844427
"FDS12","OUT027",3451.21382033396
"FDR39","OUT027",4326.72036622203
"FDP12","OUT027",2120.75867716731
"DRF60","OUT027",5154.86199358642
"FDC09","OUT035",1840.76384596915
"FDF50","OUT018",2859.46207390623
"FDG28","OUT035",4019.15473901387
"NCE19","OUT017",998.684748100167
"NCM53","OUT010",-178.927562902947
"NCN18","OUT049",1833.88596158153
"FDF32","OUT035",3310.54115672716
"FDF11","OUT013",3845.321166522
"DRI59","OUT049",3630.9934023711
"NCG54","OUT035",2818.15613946022
"FDM44","OUT046",1648.38063245759
"FDT57","OUT018",3448.90726151713
"FDV24","OUT046",2418.18360621719
"FDI50","OUT019",1744.06273625443
"FDS09","OUT035",1034.58674567241
"NCC31","OUT027",3906.69632614487
"FDQ07","OUT019",1598.17434518741
"FDC22","OUT017",3169.28010368869
"FDZ56","OUT046",2726.53330400071
"FDZ40","OUT019",-984.076350100257
"FDS46","OUT027",3372.40734746043
"DRD24","OUT045",2185.66696593063
"FDV45","OUT017",3109.33883482574
"FDL26","OUT045",2427.27009065492
"FDA56","OUT018",1700.29920251709
"FDN27","OUT046",1905.74547622207
"FDM20","OUT049",3964.94695683601
"FDO16","OUT017",1446.21093074286
"FDL03","OUT035",3302.70651467044
"FDE58","OUT046",1873.92960857908
"FDI02","OUT027",3262.73130082195
"NCC55","OUT019",-1246.43052571531
"FDR03","OUT018",3029.70181655303
"FDB14","OUT017",1615.48572208125
"FDR45","OUT013",3827.85993279516
"NCN07","OUT017",2150.17815857595
"FDM51","OUT019",-196.355187668861
"FDT52","OUT027",5340.63206848391
"FDL26","OUT046",2472.43763897027
"NCZ42","OUT046",3758.98588736854
"DRI47","OUT019",437.406964850256
"FDW40","OUT013",2321.52383685197
"FDN34","OUT046",2746.96054996909
"FDS01","OUT035",2989.9155587766
"NCG55","OUT045",1775.18700185941
"FDC11","OUT035",1530.61503762324
"FDX35","OUT018",3332.03562028749
"NCB06","OUT046",2543.59077630375
"FDR09","OUT019",2184.29582446565
"FDC53","OUT017",1665.7341915055
"FDY45","OUT013",4049.95419658049
"FDA22","OUT010",789.270714945918
"FDE02","OUT035",1656.32070799268
"FDW21","OUT045",1603.73606459725
"FDV34","OUT046",1263.20901015274
"FDS59","OUT049",1889.05151581794
"NCW17","OUT017",2120.62459464169
"NCK54","OUT046",1861.10675381002
"FDG17","OUT019",1995.7249948933
"FDG35","OUT017",2907.23202202455
"FDD08","OUT010",-1215.04013287133
"NCO07","OUT017",3422.41681520494
"FDJ10","OUT010",406.53621615115
"FDW36","OUT017",1764.82927767652
"FDW21","OUT010",-213.132351906907
"FDY19","OUT017",1995.35571229439
"DRE03","OUT013",828.264816906577
"NCC55","OUT049",731.683964579499
"FDH52","OUT010",-793.437134512646
"FDO09","OUT017",4282.65206161754
"FDU43","OUT045",3757.82277438622
"FDX09","OUT010",896.721667638516
"FDH40","OUT019",-522.969849583704
"FDW58","OUT017",1782.28238631334
"FDC47","OUT017",3668.2389060784
"NCR41","OUT035",1644.50101463713
"DRG49","OUT035",3973.96367850333
"FDC52","OUT027",3942.96823265925
"FDY13","OUT046",1236.23712500741
"FDY35","OUT013",837.362902666368
"FDI35","OUT017",2995.97205097862
"NCU18","OUT049",2342.86303168397
"FDY33","OUT018",2282.48630741418
"FDC15","OUT027",3950.36201772052
"FDU01","OUT049",3108.05048106359
"NCU42","OUT046",2699.06083492816
"NCV29","OUT018",2536.16780628091
"NCY30","OUT017",2995.96332959332
"FDQ46","OUT049",1873.74455400818
"FDG58","OUT027",3938.10444345019
"FDK33","OUT017",3475.5523426448
"NCD07","OUT045",1762.79476525496
"NCX29","OUT027",3733.96968953906
"NCT42","OUT013",2391.18295158685
"DRN59","OUT035",902.422853434642
"FDI44","OUT035",1433.90006422348
"FDA45","OUT049",2911.14526072882
"FDP31","OUT045",1051.51300130583
"FDY01","OUT046",1858.27883831711
"FDT09","OUT018",1877.30107329269
"DRH03","OUT027",2967.54228595883
"FDA36","OUT018",2700.60592580656
"NCF31","OUT017",2534.36764384157
"FDG14","OUT049",2554.87600957093
"FDG28","OUT027",5349.49077765375
"FDU14","OUT049",4045.57245703216
"FDY47","OUT019",238.661458378939
"FDI56","OUT049",1551.03648998518
"DRD01","OUT013",991.64357135031
"FDM22","OUT046",966.288629673131
"FDH33","OUT013",737.897733608
"DRZ24","OUT013",1894.07404181875
"NCQ38","OUT046",1679.60499324937
"FDO16","OUT027",2811.33509529764
"FDU07","OUT027",3846.89381597978
"NCB07","OUT013",3092.8497033348
"FDU48","OUT045",2038.41552854704
"NCM43","OUT045",2562.35642436179
"FDR31","OUT010",477.79442688479
"DRK49","OUT018",413.926699586484
"NCI30","OUT010",1941.08759427098
"DRD60","OUT017",2971.12585141492
"NCG19","OUT046",3674.23426921117
"FDH12","OUT035",1814.67820894906
"FDM32","OUT035",1633.77306680691
"FDM27","OUT035",2663.94570533294
"NCU53","OUT027",4074.65818694153
"NCQ18","OUT046",1559.42792759027
"FDS10","OUT013",2885.64030050274
"FDB33","OUT027",3983.60958158552
"FDI12","OUT013",1441.0848357896
"NCW42","OUT013",3499.27861566098
"NCC06","OUT018",1750.50111252091
"FDW02","OUT017",2154.63098545079
"NCD43","OUT017",1756.7196889066
"FDM57","OUT018",1092.94140755647
"FDA58","OUT017",3820.14233567511
"FDK56","OUT046",2948.62714553057
"FDP52","OUT045",3617.20802863485
"FDW20","OUT018",1711.1322798895
"FDS52","OUT049",1714.05181213798
"NCT29","OUT018",1606.30161941216
"NCL54","OUT013",2815.05734625023
"FDC05","OUT045",3115.64064081588
"FDF34","OUT035",3313.24453794872
"FDP03","OUT027",3473.92953766192
"FDD32","OUT010",-491.609098090476
"FDZ10","OUT045",1968.96200540665
"FDZ40","OUT035",1051.31772551456
"FDD51","OUT018",464.152073932408
"NCY30","OUT019",955.981200118582
"FDP58","OUT017",3520.82335603141
"FDV49","OUT017",4261.19442384224
"FDY24","OUT019",-1002.97714907223
"NCO55","OUT017",1784.70503883635
"FDR13","OUT017",2003.24276027667
"FDS51","OUT017",1144.96268334434
"FDP26","OUT045",1608.04115599023
"NCB54","OUT027",3480.91976067328
"FDF32","OUT017",3238.56931215992
"FDN31","OUT018",2734.3657102988
"DRM48","OUT017",699.060707396026
"FDN20","OUT049",2807.94638709302
"DRL01","OUT046",3697.04924292174
"FDV56","OUT049",1866.6471830178
"DRH13","OUT027",3159.06063519434
"FDA03","OUT017",2484.95745370312
"FDF47","OUT027",4967.072840561
"FDX32","OUT046",2394.40533238459
"FDX57","OUT049",1681.87825341902
"NCA30","OUT045",2931.80294451408
"FDO49","OUT013",914.752606879749
"FDL04","OUT019",-231.680158818714
"DRM48","OUT035",758.72356288132
"FDR16","OUT013",3406.82204988197
"NCC19","OUT018",2751.69806224045
"NCE42","OUT045",3637.84788603879
"FDY24","OUT017",1039.96848234959
"FDH19","OUT049",2905.66499712157
"FDJ46","OUT013",2794.99331631318
"FDN45","OUT010",1630.75804028094
"FDY08","OUT035",2412.48603674918
"FDZ37","OUT035",1582.33468301559
"NCT30","OUT045",715.53302024261
"DRY23","OUT018",447.758926995928
"NCZ30","OUT018",1643.70678632608
"FDC44","OUT018",1515.19148489692
"FDB45","OUT035",1833.65701495432
"FDY04","OUT013",2675.72400988333
"FDM27","OUT046",2574.93876526433
"FDZ43","OUT017",3946.18011454042
"FDT39","OUT019",586.006924611463
"NCC06","OUT019",111.699397274616
"FDL15","OUT027",3916.74624261143
"FDL57","OUT017",4184.52295841795
"FDU08","OUT046",1607.5941278437
"FDK40","OUT017",4258.53143582414
"FDQ12","OUT010",1728.94187119732
"FDS48","OUT017",2526.37034032723
"FDP09","OUT045",3291.89390302327
"FDW21","OUT049",1730.39585519063
"FDY25","OUT035",3028.37426228179
"DRE13","OUT017",1468.44583476095
"FDV43","OUT019",-1160.14248735581
"FDD22","OUT045",1713.97042591619
"FDM46","OUT019",-439.97263255185
"NCO30","OUT010",1047.22284834646
"FDM25","OUT046",2824.59894324157
"NCN41","OUT049",2029.5610255337
"FDU24","OUT045",1458.08924865152
"FDZ50","OUT046",2974.91351180226
"FDP45","OUT013",4028.04710313204
"NCM54","OUT045",1926.27577736257
"FDW10","OUT019",894.256274488462
"FDP20","OUT017",2146.65736455482
"FDK32","OUT046",2476.41725503991
"FDN52","OUT049",1527.94477656096
"FDM58","OUT045",1746.49664066716
"FDZ46","OUT027",3213.28980496465
"NCA18","OUT018",1566.48754093642
"FDD35","OUT046",1954.49172385312
"NCK31","OUT035",961.215793782615
"FDI40","OUT027",3079.8993059319
"FDT50","OUT019",-296.025620877006
"NCT06","OUT046",2621.0869730408
"FDT31","OUT035",3149.16868458501
"FDT45","OUT049",984.52341206931
"FDT13","OUT045",2923.5166805844
"FDO50","OUT045",1397.6275508653
"NCU18","OUT010",350.822052854828
"NCR54","OUT049",3164.37962406883
"NCO18","OUT018",2545.02284475467
"FDU09","OUT045",914.997842548539
"FDT13","OUT018",2710.41478352791
"FDE09","OUT046",1817.77326089288
"NCK53","OUT019",-288.408561103433
"FDG45","OUT049",3460.18522175558
"DRH15","OUT035",890.18095143185
"FDO21","OUT019",1693.78244224758
"FDD14","OUT027",4353.52444933792
"FDC09","OUT046",1707.63738500473
"FDH45","OUT027",2223.56044188148
"FDV32","OUT046",1087.20862458994
"FDG12","OUT035",2087.43858993415
"FDS32","OUT013",2333.64055131895
"NCL55","OUT018",3649.01471043708
"DRE01","OUT035",3934.54360638441
"DRE15","OUT049",1357.28974496503
"NCL42","OUT045",3809.00288365492
"FDP31","OUT013",1114.68477990677
"FDN33","OUT018",1245.87790511074
"FDZ59","OUT046",2666.41102884496
"FDE45","OUT010",967.072715169631
"FDJ07","OUT013",1936.13645947483
"FDQ45","OUT018",2702.46173998655
"FDM33","OUT027",4896.64793694505
"FDO15","OUT010",-582.483168117213
"FDM46","OUT013",1493.56271334224
"FDR03","OUT045",3247.43435339819
"FDY49","OUT018",2423.43825546532
"FDQ60","OUT045",1858.47570865204
"FDW10","OUT049",2897.46339834738
"FDO51","OUT049",905.382521548274
"FDJ40","OUT018",1497.38975678379
"FDS20","OUT018",2631.59387834246
"FDU45","OUT013",1865.78427094419
"FDV02","OUT035",2852.81786902503
"FDN09","OUT046",3826.49626989334
"NCM55","OUT027",4392.11507196925
"FDN23","OUT018",2083.65986644923
"FDY31","OUT010",453.575522358305
"FDW03","OUT010",-125.465139862891
"FDD14","OUT046",2902.31013942229
"FDV23","OUT017",2099.52782461691
"DRI03","OUT045",2740.60527239256
"FDN13","OUT035",1723.6306147121
"FDF45","OUT027",2499.26471924694
"FDU46","OUT035",1597.21758592409
"FDB57","OUT049",3657.28117354952
"FDV12","OUT049",1726.67687949799
"FDQ58","OUT013",2457.59392426189
"NCA18","OUT017",1927.6539756857
"FDH52","OUT049",1151.73506771419
"FDM24","OUT018",2156.72360440804
"NCP43","OUT027",4314.78480054646
"NCO18","OUT019",908.147273248338
"FDM32","OUT017",1585.03700244197
"NCL07","OUT017",741.243302318235
"FDK03","OUT013",4056.61615547691
"FDP59","OUT017",1785.68414136324
"FDQ24","OUT049",4034.09327297042
"FDQ16","OUT018",1473.95562342365
"FDU44","OUT013",2643.48653369272
"FDH28","OUT010",-1202.21824525082
"FDV28","OUT019",-1270.71396097493
"FDM22","OUT045",882.914829336891
"FDR56","OUT046",3160.54192087263
"FDV39","OUT049",3241.76637070607
"FDU37","OUT019",-572.673171010596
"FDQ11","OUT010",2199.2824755851
"FDX02","OUT045",3474.56588451671
"NCS42","OUT018",1184.45698980838
"FDY57","OUT027",2990.25171152779
"FDB21","OUT049",3893.01447510491
"FDE28","OUT017",3743.07468721209
"FDQ55","OUT017",1965.81932166955
"FDA48","OUT049",3591.23212635374
"FDZ19","OUT045",2720.82261085243
"NCC43","OUT045",3880.77781232959
"NCV18","OUT046",1299.21929034732
"NCA42","OUT018",2247.3484745922
"FDY45","OUT046",4045.60835885631
"NCC30","OUT045",2772.37994300029
"FDM57","OUT013",1438.72261370028
"FDL09","OUT010",785.519370412455
"FDB09","OUT027",3442.85309550186
"FDT44","OUT035",2035.28522751287
"NCT06","OUT027",4052.0928448352
"FDX26","OUT049",3014.92534029353
"FDK32","OUT013",2528.36148546735
"DRA12","OUT046",2287.23299391419
"FDO46","OUT010",1151.60664519646
"FDE52","OUT013",1479.38358686691
"NCH42","OUT045",3550.08995288189
"FDV08","OUT035",878.190187537959
"FDB47","OUT018",3042.13612708163
"FDC28","OUT010",-123.462298206718
"FDD22","OUT046",1813.22628471003
"FDS07","OUT027",3286.09217435578
"DRI13","OUT045",3353.5982906094
"FDG32","OUT018",3221.4893381295
"FDU14","OUT017",4053.06833056364
"FDD28","OUT019",-913.949846001262
"NCP41","OUT017",1837.99589476759
"FDS08","OUT049",2893.55504790383
"FDX47","OUT045",2511.14370092947
"FDC53","OUT019",-266.331547100144
"FDQ19","OUT035",3995.35059810713
"FDL14","OUT045",2460.07800257973
"FDM33","OUT019",1582.51610925336
"FDA51","OUT045",1772.14150717256
"FDZ27","OUT018",561.897512052933
"FDT04","OUT046",705.088532923094
"DRC13","OUT049",2105.46223406464
"FDR16","OUT027",4861.64852911152
"FDQ03","OUT027",5210.61886800612
"FDE38","OUT035",2820.27526037951
"DRH23","OUT027",2358.22282020359
"FDT11","OUT019",1150.24166123362
"FDD09","OUT035",3020.54874411728
"FDR40","OUT045",1311.69003229687
"FDX07","OUT017",3075.44262406373
"FDR07","OUT035",1703.30786311427
"FDA51","OUT017",1947.92569106686
"FDT59","OUT019",1760.918201453
"FDF20","OUT017",3214.46849960458
"FDR13","OUT045",1815.0015538818
"FDY26","OUT049",3466.83027648338
"FDW04","OUT017",2200.3384193782
"FDK52","OUT017",3671.12972776584
"FDN60","OUT049",2598.05635664847
"FDM09","OUT019",857.43333121795
"FDP46","OUT049",1505.02350740704
"FDB50","OUT019",-633.538439900912
"NCQ29","OUT049",4132.02487801528
"FDP16","OUT027",5312.08659030969
"FDX33","OUT018",2318.83846804136
"FDP07","OUT010",1228.73346138226
"FDN22","OUT046",3979.08679486749
"FDF39","OUT049",4264.71326471484
"FDS21","OUT017",1154.07112459563
"NCM42","OUT013",1727.54411584827
"FDK50","OUT019",727.182577347048
"DRF13","OUT027",3790.73260263527
"FDH35","OUT018",2336.82533692847
"FDP60","OUT018",1314.88321327121
"DRJ49","OUT027",3507.99660116556
"NCT42","OUT019",473.433856428986
"FDE38","OUT049",2771.7466306697
"FDI04","OUT049",3281.36433095537
"NCH54","OUT045",2438.72178948048
"FDT56","OUT049",1110.51754381137
"DRD15","OUT018",3375.16384412928
"FDV58","OUT013",3095.14998766143
"FDP21","OUT049",3113.37568683893
"FDH05","OUT013",3726.2088915707
"FDR10","OUT027",4037.49060223601
"NCP06","OUT045",2315.51104451399
"FDF33","OUT049",1814.89455616152
"DRK37","OUT013",3010.23159559164
"DRH49","OUT045",1289.56591443828
"FDT58","OUT013",2694.42568698964
"FDD41","OUT018",1420.17600057491
"FDP40","OUT018",1524.98124928701
"FDM51","OUT027",3129.97338573175
"FDO45","OUT010",-452.680579888046
"FDW33","OUT010",-200.562650899769
"FDY24","OUT045",866.282424753313
"FDB10","OUT010",1848.13735497854
"FDM40","OUT035",2392.95756668375
"NCI06","OUT017",2959.62788554198
"FDW12","OUT019",453.777200483031
"FDX48","OUT027",3965.34919571858
"NCW05","OUT027",3118.02360093872
"FDX27","OUT017",1663.14112217947
"DRM37","OUT045",3062.09432833557
"FDA38","OUT045",3760.00757599253
"FDR36","OUT046",720.481394542243
"FDZ45","OUT046",3161.55278241807
"FDG05","OUT017",2663.2206133746
"FDK28","OUT013",4092.25460740663
"FDV47","OUT045",1333.15323930023
"FDN21","OUT045",2499.49668114107
"FDP20","OUT027",3482.49591391743
"FDI35","OUT045",2835.55218638788
"DRY23","OUT013",778.121394108143
"FDA56","OUT017",2075.38778764018
"FDB09","OUT013",2000.42553995256
"NCO26","OUT027",3291.41761682103
"FDQ49","OUT018",2275.87844645842
"FDI52","OUT027",3384.64604671191
"FDZ44","OUT027",3333.84912209889
"FDZ09","OUT018",2333.8361195243
"FDY03","OUT049",1943.1507085578
"NCG42","OUT017",2147.01951710858
"DRI13","OUT027",4877.62641140141
"FDQ32","OUT013",2077.99758457187
"FDW16","OUT035",1644.77500916199
"FDU27","OUT046",829.279384218181
"FDR28","OUT010",759.880997135777
"FDQ49","OUT010",693.906561169797
"FDS37","OUT046",1865.11798836327
"FDW26","OUT018",3234.6290742226
"FDX12","OUT018",3560.47922180499
"NCP06","OUT013",2424.96722813835
"FDW45","OUT010",445.829385770266
"NCN30","OUT049",1599.79873688822
"FDN24","OUT049",972.422633602549
"NCL41","OUT027",2006.31806492653
"FDR02","OUT019",-120.82305373791
"FDD09","OUT010",1014.23829973837
"FDS33","OUT010",-462.00339013073
"FDU22","OUT045",1836.74269976284
"FDI53","OUT013",2644.49378291528
"DRH01","OUT049",2868.56399253936
"FDX32","OUT013",2361.37898501756
"NCP30","OUT018",389.5413356412
"FDB60","OUT045",3057.08036392809
"FDB14","OUT049",1621.95275843842
"NCP02","OUT035",1089.91485111115
"FDJ10","OUT017",2375.03311787367
"FDG34","OUT046",1814.81368008632
"NCB18","OUT017",1496.8434001813
"FDM16","OUT049",1354.04346671192
"FDW25","OUT018",1081.42526763736
"FDB35","OUT010",-386.685344551331
"DRN11","OUT013",2287.40138321625
"FDF41","OUT019",1985.74157300892
"FDH16","OUT045",1360.0501136384
"NCQ50","OUT018",3058.14916424737
"DRH23","OUT018",633.190156546625
"DRJ37","OUT013",2442.64010527611
"DRJ24","OUT027",4357.31672923337
"FDY16","OUT035",3089.07951083375
"FDQ27","OUT045",1673.34148013199
"FDZ33","OUT045",2308.8200396224
"FDF29","OUT045",2071.67186834205
"FDA08","OUT049",2749.02453268494
"FDG31","OUT046",1100.07212632725
"FDE34","OUT019",1022.32805949648
"NCR30","OUT027",2632.53576761695
"FDV33","OUT035",4243.75256793251
"DRZ24","OUT018",1612.89591082618
"NCL54","OUT035",2879.24019257376
"FDR12","OUT049",2892.48619878938
"NCC54","OUT046",3786.04300120557
"DRN59","OUT013",792.085889118689
"FDX50","OUT019",-127.827199114161
"FDV31","OUT027",4287.9676188238
"NCA29","OUT027",4186.41980833539
"FDW60","OUT049",2956.99638362511
"FDX08","OUT017",3021.52700558255
"DRD49","OUT013",3712.71786844091
"FDD33","OUT046",3651.17235845994
"FDW35","OUT013",773.211762550078
"FDJ36","OUT017",1769.56455288849
"FDV51","OUT035",2812.32762725954
"FDW36","OUT046",1709.84019156278
"FDH35","OUT046",2644.55030132433
"NCS30","OUT027",3498.31824555489
"FDN49","OUT017",794.907282375954
"FDL08","OUT018",3604.1462232645
"FDI09","OUT013",3841.69474548453
"FDP19","OUT018",1763.97151072355
"FDU21","OUT010",-1277.3613137635
"NCP41","OUT045",1648.19943973411
"FDY10","OUT013",1827.73865120093
"FDP12","OUT018",391.30437307809
"NCN26","OUT049",1929.92362111154
"FDK44","OUT013",2805.72854095769
"FDC28","OUT049",1837.56064876463
"FDJ41","OUT027",5592.04598753787
"NCT29","OUT035",2084.23966888446
"NCH42","OUT019",1692.00855517126
"FDU60","OUT018",2423.2970174356
"FDS02","OUT045",3037.99382305165
"FDC51","OUT046",2025.74236466492
"FDU03","OUT013",2975.78029524225
"FDX39","OUT045",3331.73472281116
"NCY05","OUT010",-1272.16307450014
"NCL06","OUT027",5509.07589282471
"FDD32","OUT035",1486.18669645265
"NCN41","OUT045",1873.53994687766
"NCX53","OUT049",2353.1514417605
"FDU57","OUT019",531.552356735671
"FDQ23","OUT046",1690.56836894808
"FDQ52","OUT045",3844.19678528591
"FDC14","OUT045",671.111776935291
"FDY09","OUT035",2964.05306835235
"FDQ28","OUT045",2477.96757105038
"FDV25","OUT046",3495.93772015671
"FDJ07","OUT035",2014.2343644915
"DRB25","OUT049",1771.02687211513
"FDK52","OUT019",1650.86014117319
"FDY52","OUT027",2503.82828847414
"FDB28","OUT046",3151.84036050956
"FDT36","OUT035",757.060456610939
"FDV25","OUT017",3605.01798944035
"NCN07","OUT027",3502.98586604864
"FDC57","OUT017",3219.47440750667
"FDQ03","OUT018",3491.91937557969
"FDU23","OUT017",2785.12631814479
"NCX41","OUT035",3484.26536829304
"NCD06","OUT035",902.629563311771
"FDW08","OUT045",1637.09088554497
"NCU29","OUT017",2411.70017445695
"NCE06","OUT013",2571.89772304792
"FDV52","OUT010",6.0076287575601
"FDB02","OUT017",2957.086068717
"NCR18","OUT045",659.98406608255
"FDK16","OUT049",1597.82869319095
"NCQ29","OUT010",2141.48085567857
"FDZ01","OUT019",-181.572208331115
"FDW27","OUT035",2679.96528637842
"FDD17","OUT018",3471.52803870696
"FDW39","OUT013",2895.22592763335
"DRH59","OUT045",1115.24735394559
"FDS52","OUT013",1669.01523192528
"FDU40","OUT027",4551.83274777278
"NCF54","OUT013",2777.05137499023
"FDH46","OUT045",1626.49575341299
"NCP14","OUT049",1719.64342371006
"FDH50","OUT049",3059.60738881281
